GEO_ID,P002002
1000000US500019602001052,0
1000000US500019602001053,0
1000000US500019602001054,0
1000000US500019602001055,0
1000000US500019602001056,0
1000000US500019602001057,0
1000000US500019602001058,0
1000000US500019602001059,0
1000000US500019602001060,3
1000000US500019602001061,0
1000000US500019602001062,0
1000000US500019602001063,0
1000000US500019602001064,0
1000000US500019602001065,0
1000000US500019602001066,0
1000000US500019602001067,0
1000000US500019602001068,0
1000000US500019602001069,0
1000000US500019602001070,0
1000000US500019602002000,0
1000000US500019602002001,0
1000000US500019602002002,0
1000000US500019602002003,0
1000000US500019602002004,4
1000000US500019602002005,0
1000000US500019602002006,0
1000000US500019602002007,0
1000000US500019602002008,0
1000000US500019602002009,0
1000000US500019602002010,0
1000000US500019602002011,0
1000000US500019602002012,0
1000000US500019602002013,0
1000000US500019602002014,7
1000000US500019602002015,0
1000000US500019602002016,0
1000000US500019602002017,0
1000000US500019602002018,0
1000000US500019602002019,0
1000000US500019602002020,0
1000000US500019602002021,0
1000000US500019602002022,0
1000000US500019602002023,0
1000000US500019602002024,0
1000000US500019602002025,0
1000000US500019602002026,0
1000000US500019602002027,0
1000000US500019602002028,0
1000000US500019602002029,1
1000000US500019602002030,0
1000000US500019602002031,0
1000000US500019602002032,0
1000000US500019602002033,0
1000000US500019602002034,0
1000000US500019602002035,0
1000000US500019602002036,0
1000000US500019602002037,0
1000000US500019602002038,0
1000000US500019602002039,0
1000000US500019602002040,3
1000000US500019602002041,0
1000000US500019602002042,0
1000000US500019602002043,0
1000000US500019602002044,0
1000000US500019602002045,0
1000000US500019602002046,0
1000000US500019602002047,0
1000000US500019602002048,1
1000000US500019602002049,0
1000000US500019602002050,0
1000000US500019602002051,1
1000000US500019602002052,0
1000000US500019602002053,1
1000000US500019602002054,3
1000000US500019602002055,0
1000000US500019602002056,0
1000000US500019602002057,0
1000000US500019602002058,0
1000000US500019602002059,0
1000000US500019602002060,0
1000000US500019602002061,0
1000000US500019602002062,0
1000000US500019602002063,0
1000000US500019602002064,0
1000000US500019602002065,0
1000000US500019602002066,0
1000000US500019602002067,0
1000000US500019602002068,0
1000000US500019602002069,0
1000000US500019602002070,0
1000000US500019602002071,0
1000000US500019602002072,0
1000000US500019602002073,5
1000000US500019602002074,0
1000000US500019602002075,0
1000000US500019602002076,0
1000000US500019602002077,0
1000000US500019602002078,0
1000000US500019602002079,0
1000000US500019602002080,0
1000000US500019602002081,0
1000000US500019602002082,0
1000000US500019602002083,0
1000000US500019602002084,0
1000000US500019602002085,0
1000000US500019602002086,0
1000000US500019602002087,0
1000000US500019602002088,0
1000000US500019602002089,0
1000000US500019602002090,3
1000000US500019602002091,0
1000000US500019602002092,0
1000000US500019602002093,0
1000000US500019602002094,0
1000000US500019602002095,0
1000000US500019602002096,0
1000000US500019602002097,0
1000000US500019602002098,0
1000000US500019602002099,0
1000000US500019602002100,0
1000000US500019602002101,0
1000000US500019602002102,0
1000000US500019602002103,0
1000000US500019602002104,0
1000000US500019602002105,0
1000000US500019602002106,0
1000000US500019602002107,0
1000000US500019602002108,0
1000000US500019602002109,0
1000000US500019602002110,0
1000000US500019602002111,0
1000000US500019602002112,0
1000000US500019602002113,0
1000000US500019602002114,2
1000000US500019602002115,6
1000000US500019602002116,0
1000000US500019602002117,0
1000000US500019602002118,0
1000000US500019602002119,0
1000000US500019602002120,0
1000000US500019602002121,0
1000000US500019602002122,0
1000000US500019602002123,0
1000000US500019603001000,2
1000000US500019603001001,0
1000000US500019603001002,42
1000000US500019603001003,0
1000000US500019603001004,0
1000000US500019603001005,0
1000000US500019603001006,0
1000000US500019603001007,0
1000000US500019603001008,0
1000000US500019603001009,0
1000000US500019603001010,0
1000000US500019603001011,0
1000000US500019603001012,0
1000000US500019603001013,0
1000000US500019603001014,0
1000000US500019603001015,0
1000000US500019603001016,1
1000000US500019603001017,0
1000000US500019603001018,1
1000000US500019603001019,0
1000000US500019603001020,0
1000000US500019603001021,0
1000000US500019603001022,2
1000000US500019603001023,0
1000000US500019603001024,0
1000000US500019603001025,0
1000000US500019603001026,0
1000000US500019603001027,0
1000000US500019603002000,0
1000000US500019603002001,0
1000000US500019603002002,0
1000000US500019603002003,0
1000000US500019603002004,0
1000000US500019603002005,0
1000000US500019603002006,0
1000000US500019603002007,1
1000000US500019603002008,0
1000000US500019603002009,0
1000000US500019603002010,0
1000000US500019603002011,1
1000000US500019603002012,0
1000000US500019603002013,0
1000000US500019603002014,2
1000000US500019603002015,0
1000000US500019603002016,0
1000000US500019603002017,0
1000000US500019603002018,0
1000000US500019603002019,0
1000000US500019603002020,0
1000000US500019603002021,1
1000000US500019603002022,3
1000000US500019603002023,0
1000000US500019603002024,1
1000000US500019603002025,0
1000000US500019603002026,0
1000000US500019603002027,0
1000000US500019603002028,6
1000000US500019603002029,0
1000000US500019603002030,0
1000000US500019603002031,0
1000000US500019603002032,1
1000000US500019603002033,0
1000000US500019603002034,0
1000000US500019603002035,3
1000000US500019603002036,0
1000000US500019603002037,0
1000000US500019603002038,0
1000000US500019603002039,0
1000000US500019604001000,0
1000000US500019604001001,0
1000000US500019604001002,0
1000000US500019604001003,0
1000000US500019604001004,0
1000000US500019604001005,2
1000000US500019604001006,0
1000000US500019604001007,0
1000000US500019604001008,0
1000000US500019604001009,0
1000000US500019604001010,9
1000000US500019604001011,0
1000000US500019604001012,0
1000000US500019604001013,0
1000000US500019604001014,0
1000000US500019604001015,0
1000000US500019604001016,0
1000000US500019604001017,0
1000000US500019604001018,0
