GEO_ID,H003001,H003002,H003003
1000000US500019602001018,0,0,0
1000000US500019602001019,0,0,0
1000000US500019602001020,17,17,0
1000000US500019602001021,4,4,0
1000000US500019602001022,4,4,0
1000000US500019602001023,48,46,2
1000000US500019602001024,1,1,0
1000000US500019602001025,0,0,0
1000000US500019602001026,6,4,2
1000000US500019602001027,24,24,0
1000000US500019602001028,0,0,0
1000000US500019602001029,108,104,4
1000000US500019602001030,0,0,0
1000000US500019602001031,0,0,0
1000000US500019602001032,4,4,0
1000000US500019602001033,0,0,0
1000000US500019602001034,21,20,1
1000000US500019602001035,0,0,0
1000000US500019602001036,0,0,0
1000000US500019602001037,1,1,0
1000000US500019602001038,1,1,0
1000000US500019602001039,15,14,1
1000000US500019602001040,8,8,0
1000000US500019602001041,0,0,0
1000000US500019602001042,0,0,0
1000000US500019602001043,0,0,0
1000000US500019602001044,0,0,0
1000000US500019602001045,0,0,0
1000000US500019602001046,0,0,0
1000000US500019602001047,21,20,1
1000000US500019602001048,17,17,0
1000000US500019602001049,0,0,0
1000000US500019602001050,1,1,0
1000000US500019602001051,2,2,0
1000000US500019602001052,0,0,0
1000000US500019602001053,0,0,0
1000000US500019602001054,0,0,0
1000000US500019602001055,5,5,0
1000000US500019602001056,9,9,0
1000000US500019602001057,0,0,0
1000000US500019602001058,1,1,0
1000000US500019602001059,0,0,0
1000000US500019602001060,40,38,2
1000000US500019602001061,0,0,0
1000000US500019602001062,0,0,0
1000000US500019602001063,4,2,2
1000000US500019602001064,3,3,0
1000000US500019602001065,1,1,0
1000000US500019602001066,0,0,0
1000000US500019602001067,0,0,0
1000000US500019602001068,0,0,0
1000000US500019602001069,0,0,0
1000000US500019602001070,0,0,0
1000000US500019602002000,24,22,2
1000000US500019602002001,3,3,0
1000000US500019602002002,3,3,0
1000000US500019602002003,1,1,0
1000000US500019602002004,4,4,0
1000000US500019602002005,0,0,0
1000000US500019602002006,81,18,63
1000000US500019602002007,9,3,6
1000000US500019602002008,5,2,3
1000000US500019602002009,0,0,0
1000000US500019602002010,0,0,0
1000000US500019602002011,0,0,0
1000000US500019602002012,1,0,1
1000000US500019602002013,2,2,0
1000000US500019602002014,12,10,2
1000000US500019602002015,0,0,0
1000000US500019602002016,57,12,45
1000000US500019602002017,4,4,0
1000000US500019602002018,0,0,0
1000000US500019602002019,0,0,0
1000000US500019602002020,31,24,7
1000000US500019602002021,0,0,0
1000000US500019602002022,0,0,0
1000000US500019602002023,78,17,61
1000000US500019602002024,55,7,48
1000000US500019602002025,0,0,0
1000000US500019602002026,21,15,6
1000000US500019602002027,14,4,10
1000000US500019602002028,11,2,9
1000000US500019602002029,42,17,25
1000000US500019602002030,24,9,15
1000000US500019602002031,0,0,0
1000000US500019602002032,0,0,0
1000000US500019602002033,31,29,2
1000000US500019602002034,0,0,0
1000000US500019602002035,0,0,0
1000000US500019602002036,0,0,0
1000000US500019602002037,0,0,0
1000000US500019602002038,0,0,0
1000000US500019602002039,9,6,3
1000000US500019602002040,21,20,1
1000000US500019602002041,0,0,0
1000000US500019602002042,0,0,0
1000000US500019602002043,0,0,0
1000000US500019602002044,0,0,0
1000000US500019602002045,19,17,2
1000000US500019602002046,0,0,0
1000000US500019602002047,7,6,1
1000000US500019602002048,7,6,1
1000000US500019602002049,0,0,0
1000000US500019602002050,0,0,0
1000000US500019602002051,20,17,3
1000000US500019602002052,0,0,0
1000000US500019602002053,33,32,1
1000000US500019602002054,11,11,0
1000000US500019602002055,12,10,2
1000000US500019602002056,11,11,0
1000000US500019602002057,0,0,0
1000000US500019602002058,0,0,0
1000000US500019602002059,8,8,0
1000000US500019602002060,6,6,0
1000000US500019602002061,3,3,0
1000000US500019602002062,0,0,0
1000000US500019602002063,0,0,0
1000000US500019602002064,33,32,1
1000000US500019602002065,3,3,0
1000000US500019602002066,0,0,0
1000000US500019602002067,5,5,0
1000000US500019602002068,18,17,1
1000000US500019602002069,0,0,0
1000000US500019602002070,6,5,1
1000000US500019602002071,19,19,0
1000000US500019602002072,15,14,1
1000000US500019602002073,6,6,0
1000000US500019602002074,0,0,0
1000000US500019602002075,0,0,0
1000000US500019602002076,0,0,0
1000000US500019602002077,10,10,0
1000000US500019602002078,0,0,0
1000000US500019602002079,2,2,0
1000000US500019602002080,0,0,0
1000000US500019602002081,3,3,0
1000000US500019602002082,0,0,0
1000000US500019602002083,0,0,0
1000000US500019602002084,0,0,0
1000000US500019602002085,13,10,3
1000000US500019602002086,17,16,1
1000000US500019602002087,0,0,0
1000000US500019602002088,0,0,0
1000000US500019602002089,0,0,0
1000000US500019602002090,6,6,0
1000000US500019602002091,0,0,0
1000000US500019602002092,0,0,0
1000000US500019602002093,0,0,0
1000000US500019602002094,7,4,3
1000000US500019602002095,5,3,2
1000000US500019602002096,0,0,0
1000000US500019602002097,0,0,0
1000000US500019602002098,0,0,0
1000000US500019602002099,0,0,0
1000000US500019602002100,0,0,0
1000000US500019602002101,0,0,0
1000000US500019602002102,0,0,0
1000000US500019602002103,0,0,0
1000000US500019602002104,3,2,1
1000000US500019602002105,0,0,0
1000000US500019602002106,1,1,0
1000000US500019602002107,0,0,0
1000000US500019602002108,0,0,0
1000000US500019602002109,0,0,0
1000000US500019602002110,0,0,0
1000000US500019602002111,0,0,0
1000000US500019602002112,14,12,2
1000000US500019602002113,0,0,0
1000000US500019602002114,14,14,0
1000000US500019602002115,4,4,0
1000000US500019602002116,0,0,0
1000000US500019602002117,0,0,0
1000000US500019602002118,27,17,10
1000000US500019602002119,0,0,0
1000000US500019602002120,0,0,0
1000000US500019602002121,0,0,0
1000000US500019602002122,0,0,0
1000000US500019602002123,0,0,0
1000000US500019603001000,68,61,7
1000000US500019603001001,10,9,1
1000000US500019603001002,4,4,0
1000000US500019603001003,1,1,0
1000000US500019603001004,0,0,0
1000000US500019603001005,0,0,0
1000000US500019603001006,21,20,1
1000000US500019603001007,13,12,1
1000000US500019603001008,0,0,0
1000000US500019603001009,0,0,0
1000000US500019603001010,0,0,0
1000000US500019603001011,0,0,0
1000000US500019603001012,0,0,0
1000000US500019603001013,0,0,0
1000000US500019603001014,26,24,2
1000000US500019603001015,0,0,0
1000000US500019603001016,4,4,0
1000000US500019603001017,0,0,0
1000000US500019603001018,41,39,2
