GEO_ID,P001001,P001003,P001004,P001005,P001006,P001007,P001008,P001009
1000000US500019601003031,0,0,0,0,0,0,0,0
1000000US500019601003032,0,0,0,0,0,0,0,0
1000000US500019601003033,20,19,0,0,1,0,0,0
1000000US500019601003034,0,0,0,0,0,0,0,0
1000000US500019601003035,0,0,0,0,0,0,0,0
1000000US500019601003036,87,87,0,0,0,0,0,0
1000000US500019601003037,0,0,0,0,0,0,0,0
1000000US500019601003038,0,0,0,0,0,0,0,0
1000000US500019601003039,0,0,0,0,0,0,0,0
1000000US500019601003040,0,0,0,0,0,0,0,0
1000000US500019601003041,129,128,1,0,0,0,0,0
1000000US500019601003042,0,0,0,0,0,0,0,0
1000000US500019601003043,0,0,0,0,0,0,0,0
1000000US500019601003044,5,4,0,0,0,0,0,1
1000000US500019601003045,13,13,0,0,0,0,0,0
1000000US500019601003046,17,17,0,0,0,0,0,0
1000000US500019601003047,100,97,0,1,0,0,0,2
1000000US500019601003048,3,2,0,0,0,0,0,1
1000000US500019601003049,8,8,0,0,0,0,0,0
1000000US500019601003050,0,0,0,0,0,0,0,0
1000000US500019601003051,0,0,0,0,0,0,0,0
1000000US500019601003052,139,137,1,1,0,0,0,0
1000000US500019601003053,221,212,1,0,3,0,0,5
1000000US500019601003054,0,0,0,0,0,0,0,0
1000000US500019601003055,4,4,0,0,0,0,0,0
1000000US500019601003056,0,0,0,0,0,0,0,0
1000000US500019601003057,9,9,0,0,0,0,0,0
1000000US500019601003058,52,52,0,0,0,0,0,0
1000000US500019601003059,0,0,0,0,0,0,0,0
1000000US500019601003060,55,54,0,0,1,0,0,0
1000000US500019601003061,17,17,0,0,0,0,0,0
1000000US500019601003062,0,0,0,0,0,0,0,0
1000000US500019601003063,3,3,0,0,0,0,0,0
1000000US500019601003064,0,0,0,0,0,0,0,0
1000000US500019601003065,87,83,2,0,2,0,0,0
1000000US500019601003066,0,0,0,0,0,0,0,0
1000000US500019601003067,0,0,0,0,0,0,0,0
1000000US500019601003068,0,0,0,0,0,0,0,0
1000000US500019601003069,0,0,0,0,0,0,0,0
1000000US500019601003070,48,48,0,0,0,0,0,0
1000000US500019601003071,4,0,0,0,0,0,4,0
1000000US500019601003072,0,0,0,0,0,0,0,0
1000000US500019601003073,8,8,0,0,0,0,0,0
1000000US500019601003074,4,4,0,0,0,0,0,0
1000000US500019601003075,0,0,0,0,0,0,0,0
1000000US500019601003076,40,40,0,0,0,0,0,0
1000000US500019601003077,22,22,0,0,0,0,0,0
1000000US500019601003078,38,37,1,0,0,0,0,0
1000000US500019601003079,0,0,0,0,0,0,0,0
1000000US500019601003080,5,5,0,0,0,0,0,0
1000000US500019601003081,0,0,0,0,0,0,0,0
1000000US500019601003082,0,0,0,0,0,0,0,0
1000000US500019601003083,4,4,0,0,0,0,0,0
1000000US500019601003084,0,0,0,0,0,0,0,0
1000000US500019601003085,2,2,0,0,0,0,0,0
1000000US500019601003086,3,3,0,0,0,0,0,0
1000000US500019601003087,0,0,0,0,0,0,0,0
1000000US500019601003088,0,0,0,0,0,0,0,0
1000000US500019601003089,0,0,0,0,0,0,0,0
1000000US500019602001000,9,6,0,0,0,3,0,0
1000000US500019602001001,0,0,0,0,0,0,0,0
1000000US500019602001002,0,0,0,0,0,0,0,0
1000000US500019602001003,67,67,0,0,0,0,0,0
1000000US500019602001004,40,36,0,0,0,0,4,0
1000000US500019602001005,0,0,0,0,0,0,0,0
1000000US500019602001006,63,61,0,0,0,0,0,2
1000000US500019602001007,89,89,0,0,0,0,0,0
1000000US500019602001008,0,0,0,0,0,0,0,0
1000000US500019602001009,0,0,0,0,0,0,0,0
1000000US500019602001010,63,60,0,0,1,0,0,2
1000000US500019602001011,0,0,0,0,0,0,0,0
1000000US500019602001012,0,0,0,0,0,0,0,0
1000000US500019602001013,8,8,0,0,0,0,0,0
1000000US500019602001014,121,105,3,0,0,0,0,13
