block_id,assignment
500070022013012,7
500070030002054,8
500070035031096,11
500070035011008,8
500070002003000,8
500070035013002,8
500070023011015,7
500070034023020,8
500070027021040,8
500070021012019,8
500070034021009,8
500070030002013,8
500070035031012,11
500070021012005,8
500070022021005,7
500070035011025,8
500070036002007,8
500070010003017,8
500070010003018,8
500070009001006,8
500070041002010,8
500070009001003,8
500070009001005,8
500070009001004,8
500070009001008,8
500070008001001,8
500070009002001,8
500070008001003,8
500070008001004,8
500070008001005,8
500070041002009,8
500070033012003,8
500070034021003,8
500070021032002,8
500070021011022,8
500070022014000,7
500070010001001,8
500070008001007,8
500070041002007,8
500070009001009,8
500070033012008,8
500070029001094,8
500070021032036,8
500070027021008,8
500070021032032,8
500070021043004,8
500070025011007,8
500070027021013,8
500070022012006,7
500070027013006,8
500070027013000,8
500070027013015,8
500070027013010,8
500070027013014,8
500070031011006,8
500070031011010,8
500070035013012,8
500070031014003,8
500070035031027,11
500070035031026,11
500070030001039,8
500070031014023,8
500070035031038,11
500070028002038,8
500070031014021,8
500070031014012,8
500070034012035,8
500070034022005,8
500070034022002,8
500070003003008,8
500070031013038,8
500070028002009,8
500070027011001,8
500070022022009,7
500070029001082,8
500070029002009,8
500070035021011,8
500070029006020,8
500070029006016,8
500070021043005,8
500070027021019,8
500070035013032,8
500070021043009,8
500070021011009,8
500070035021016,8
500070035031005,11
500070030002053,8
500070029001064,8
500070029005030,8
500070035013000,8
500070027013029,8
500070030001010,8
500070029001009,8
500070022021012,7
500070021042000,8
500070035013019,8
500070028003019,8
500070031013005,8
500070025022003,8
500070034012000,8
500070027013030,8
500070003004006,8
500070040023012,8
500070003005015,8
500070003004002,8
500070003005014,8
500070042002005,8
500070010002000,8
500070010002008,8
500070042001008,8
500070042001004,8
500070041002003,8
500070003004000,8
500070042001007,8
500070041002002,8
500070041002005,8
500070003004004,8
500070003004001,8
500070006003007,8
500070006003008,8
500070006003006,8
500070003004005,8
500070042001001,8
500070042001005,8
500070042001000,8
500070042001006,8
500070006003013,8
500070041001000,8
500070041002000,8
500070006003012,8
500070010002006,8
500070039003004,8
500070010003015,8
500070010002013,8
500070010003001,8
500070010003000,8
500070010001000,8
500070010003019,8
500070008002009,8
500070023031020,7
500070003003002,8
500070027022006,8
500070027012004,8
500070027012010,8
500070035031101,11
500070035013003,8
500070035013039,8
500070001003001,8
500070027012003,8
500070022011000,7
500070026013009,8
500070022022012,7
500070031011026,8
500070027012032,8
500070034011051,8
500070031015011,8
500070031012000,8
500070031011030,8
500070031014016,8
500070031015007,8
500070030001054,8
500070031012006,8
500070023011012,8
500070021011018,8
500070022013014,7
500070033042000,8
500070034023000,8
500070031015014,8
500070031015020,8
500070029006010,8
500070023011039,7
500070035011036,8
500070023011043,7
500070026012002,8
500070035012031,8
500070035021001,8
500070035031075,11
500070029001047,8
500070030002070,8
500070035012018,8
500070021041014,8
500070035021034,8
500070031013031,8
500070003003006,8
500070027022018,8
500070034011013,8
500070030001070,8
500070003003009,8
500070021011045,8
500070029001078,8
500070029001077,8
500070030002072,8
500070026021016,8
500070027022001,8
500070023041009,7
500070035013008,8
500070029001011,8
500070029001093,8
500070029002003,8
500070021011019,8
500070040023008,8
500070028003003,8
500070029001075,8
500070006002003,8
500070029005014,8
500070006001007,8
500070023011016,7
500070029005062,8
500070029002030,8
500070021032015,8
500070029005000,8
500070027011007,8
500070027021024,8
500070027011009,8
500070021012000,8
500070028003004,8
500070028003015,8
500070034011025,8
500070022012000,7
500070023041003,7
500070028003002,8
500070021032010,8
500070031021006,8
500070040023009,8
500070023031011,7
500070034011006,8
500070025021015,8
500070027021034,8
500070035012029,8
500070033012013,8
500070031011032,8
500070034011054,8
500070028003008,8
500070035011037,8
500070022022018,7
500070028002045,8
500070023033022,8
500070035011022,8
500070029005025,8
500070006001000,8
500070023041007,7
500070003003010,8
500070030002071,8
500070040023006,8
500070003003003,7
500070022014029,7
500070022014030,8
500070030002025,8
500070040023016,8
500070022014035,7
500070027012038,8
500070022014033,7
500070035013009,8
500070029006038,8
500070002004003,8
500070031013027,8
500070035013035,8
500070035021048,8
500070035013022,8
500070034011041,8
500070035011026,8
500070034011032,8
500070035012035,8
500070030001046,8
500070035023006,8
500070030001037,8
500070030002000,8
500070034021007,8
500070025012004,8
500070034021025,8
500070033012023,8
500070034023011,8
500070030002044,8
500070034022001,8
500070033011005,8
500070033012027,8
500070025011018,8
500070024002001,8
500070024002006,8
500070024002007,8
500070034023001,8
500070025011027,8
500070002004004,8
500070025011010,8
500070025011013,8
500070025011004,8
500070003005005,8
500070025012000,8
500070003005020,8
500070003005008,8
500070025012002,8
500070025011019,8
500070025012005,8
500070003001001,8
500070025021003,8
500070003005018,8
500070025012007,8
500070025021009,8
500070002005003,8
500070025011006,8
500070003005009,8
500070025011024,8
500070003005011,8
500070025011020,8
500070025011001,8
500070025021012,7
500070003001008,8
500070031014031,8
500070031012007,8
500070022012003,7
500070031012002,8
500070031013016,8
500070031013011,8
500070031013014,8
500070042001003,8
500070034011034,8
500070003005010,8
500070003005002,8
500070027012017,8
500070031013012,8
500070031013015,8
500070034012024,8
500070022013010,7
500070022021025,7
500070023031005,7
500070003005013,8
500070022022030,7
500070035031087,11
500070027012018,8
500070029001032,8
500070033012018,8
500070031011002,8
500070028004021,8
500070028004022,8
500070029002035,8
500070027013009,8
500070034023016,8
500070023031018,7
500070025011017,8
500070002002000,8
500070025021006,8
500070003003005,8
500070030002003,8
500070035023017,8
500070029005010,8
500070030002002,8
500070033012020,8
500070034023012,8
500070033012006,8
500070029005007,8
500070022022014,7
500070039001015,8
500070035013036,8
500070006001005,8
500070033012001,8
500070006001001,8
500070039001010,8
500070023041005,7
500070022021038,7
500070021011043,8
500070023041015,7
500070030002048,8
500070023011048,7
500070034023013,8
500070033011004,8
500070034011016,8
500070035024014,8
500070026022001,8
500070034011020,8
500070040021013,8
500070035011021,8
500070021041012,8
500070028002025,8
500070040021011,8
500070021012002,8
500070040021008,8
500070034021017,8
500070025012006,8
500070033012025,8
500070040022008,8
500070033011015,8
500070033011017,8
500070033011016,8
500070029001040,8
500070033011027,8
500070033011013,8
500070033011030,8
500070039002002,8
500070033011026,8
500070003005017,8
500070034023003,8
500070033012028,8
500070033012014,8
500070033012017,8
500070025011009,8
500070025011008,8
500070025011025,8
500070003005016,8
500070024001001,8
500070030002082,8
500070003001003,8
500070035023000,8
500070034011048,8
500070033011010,8
500070033011031,8
500070033011032,8
500070033011029,8
500070039004007,8
500070033043012,8
500070035023002,8
500070006001008,8
500070021012018,8
500070039004002,8
500070027022002,8
500079800001005,8
500070040023013,8
500070040024002,8
500070040021031,8
500070040021001,8
500070040023018,8
500070030001001,8
500070030001003,8
500070028004023,8
500070034021033,8
500070035021002,8
500070035012003,8
500070039004003,8
500070034012020,8
500070002001002,8
500070026023021,8
500070030002017,8
500070022012004,8
500070033044003,8
500070002004006,8
500070002003013,8
500070041001002,8
500070002004005,8
500070021031015,8
500070022014034,7
500070039001009,8
500070009001000,8
500070009001012,8
500070030001071,8
500070039001003,8
500070033044000,8
500070009001011,8
500070009001010,8
500070039001013,8
500070039001008,8
500070033044011,8
500070039001005,8
500070026013005,8
500070039001002,8
500070039001014,8
500070006002005,8
500070006003014,8
500070021041017,8
500070022014018,7
500070028003021,8
500070039003000,8
500070009002003,8
500070028002044,8
500070040022006,8
500070040023005,8
500070025021007,8
500070033043016,8
500070033043007,8
500070033043006,8
500070033041014,8
500070022022022,7
500070029006046,8
500070022022024,7
500070034012034,8
500070022012002,7
500070034012033,8
500070021032009,8
500070031014000,8
500070034012029,8
500070034012014,8
500070034012037,8
500070034012006,8
500070034012013,8
500070034012008,8
500070034012007,8
500070033043022,8
500070030002005,8
500070022013000,7
500070031014004,8
500070031014005,8
500070022022031,7
500070035031016,11
500070027014009,8
500070033011001,8
500070034021016,8
500070010001004,8
500070011002006,8
500070034011059,8
500070010003010,8
500070010002011,8
500070027013007,8
500070034011029,8
500070034011030,8
500070035011013,8
500070021012029,8
500070029006012,8
500070039003002,8
500070035031020,11
500070029001076,8
500070021012021,8
500070021042014,8
500070035021008,8
500070035021053,8
500070035013028,8
500070035031043,11
500070035012028,8
500070035031004,11
500070034011039,8
500070035021007,8
500070035022001,8
500070035031029,11
500070035031031,11
500070034022006,8
500070035022011,8
500070040024016,8
500070034011040,8
500079800001000,8
500070028004024,8
500070029006037,8
500070035031055,11
500070029006028,8
500070010003009,8
500070010003008,8
500079800001003,8
500070028004009,8
500070006003001,8
500070035031010,11
500070029006026,8
500070010001009,8
500070033011009,8
500070033011014,8
500070029001034,8
500070029001059,8
500070035024012,8
500070029002008,8
500070022022034,7
500070029002007,8
500070029002016,8
500070030001030,8
500070035024010,8
500070035024021,8
500070033012002,8
500070010002003,8
500070034012023,8
500070035024004,8
500070035024006,8
500070031014027,8
500070035031047,11
500070030001027,8
500070035031068,11
500070031013028,8
500070035031063,11
500070035021030,8
500070036002002,8
500070034011004,8
500070027021000,8
500070040021005,8
500070027012039,8
500070035023005,8
500070033044004,8
500070011001025,8
500070031014026,8
500070033011028,8
500070030002066,8
500070033012004,8
500070030002010,8
500070001003013,8
500070002002007,8
500070001003012,8
500070024003001,8
500070029001073,8
500070035023007,8
500070001003007,8
500070031021004,8
500070001002008,8
500070001002004,8
500070023033000,7
500070030001013,8
500070029001028,8
500070035011024,8
500070025022004,8
500070022011002,7
500070022021040,7
500070023042018,7
500070031021008,8
500070034012027,8
500070025022000,8
500070024003003,8
500070024002004,8
500070025012003,8
500070028001014,8
500070029001090,8
500070028004014,8
500070029006030,8
500070029006008,8
500070029006021,8
500070029002001,8
500070027022003,8
500070027012026,8
500070022014022,7
500070002004000,8
500070021032033,8
500070021012016,8
500070028001006,8
500070035021039,8
500070034023014,8
500070027012019,8
500070035025004,8
500070035011023,8
500070022021018,7
500070021031000,8
500070030001020,8
500070010002015,8
500070021012033,8
500070021031010,8
500070023031010,7
500070034011035,8
500070028003022,8
500070034021028,8
500070035013017,8
500070034021031,8
500070031015015,8
500070008001002,8
500070028002031,8
500070009001001,8
500070042002004,8
500070034012039,8
500070041002004,8
500070035013029,8
500070031015012,8
500070035024000,8
500070034021022,8
500070027013019,8
500070029002033,8
500070030001019,8
500070034011045,8
500070022013003,7
500070034021002,8
500070029006022,8
500070027011025,8
500070029001063,8
500070035021009,8
500070030002033,8
500070035012008,8
500070021032008,8
500070029006033,8
500070021032021,8
500070034023019,8
500070026022005,8
500070026021012,8
500070027021018,8
500070028002015,8
500070035031046,11
500070034012025,8
500070027013028,8
500070027022010,8
500070027013026,8
500070029005022,8
500070031013030,8
500070030001009,8
500070031021025,8
500070028004011,8
500070033043004,8
500070026012009,8
500070026012015,8
500070035031017,11
500070021011020,8
500070027012037,8
500070022022020,7
500070021011038,8
500070034012005,8
500070036002019,8
500070027013022,8
500070031021024,8
500070040024011,8
500070029005048,8
500070036002017,8
500070031021002,8
500070027012021,8
500070022022048,7
500070021043001,8
500070027012031,8
500070030002062,8
500070034021010,8
500070036001014,8
500070040024010,8
500070022022025,7
500070035031025,11
500070025011003,8
500070029001061,8
500070036003013,8
500070009002006,8
500070040022009,8
500070034011031,8
500070029002002,8
500070031015008,8
500070033012009,8
500070009001002,8
500070009002002,8
500070008001009,8
500070033012010,8
500070031013013,8
500070039004006,8
500070030001024,8
500070041002001,8
500070021041010,8
500070041001001,8
500070042002003,8
500070003004003,8
500070029001036,8
500070033012029,8
500070022012005,7
500070006003009,8
500070028002012,8
500070035024011,8
500070010003020,8
500070031015013,8
500070027012006,8
500070025011021,8
500070026012006,8
500070002005002,8
500070003005006,8
500070031011001,8
500070031015021,8
500070026011012,8
500070027022009,8
500070026013012,8
500070027012030,8
500070003001006,8
500070040021027,8
500070040021034,8
500070021041026,8
500070027011029,8
500070031011021,8
500070026013019,8
500070026013017,8
500070026014014,8
500070031014022,8
500070008002007,8
500070035024005,8
500070003005003,8
500070003005019,8
500070031013032,8
500070035023015,8
500070008002001,8
500070021012038,8
500070033044010,8
500070008002000,8
500070025022011,8
500070031021005,8
500070033011018,8
500070036001001,8
500070034011046,8
500070040021007,8
500070039001011,8
500070042001002,8
500070041002008,8
500070040021028,8
500070027012002,8
500070039004008,8
500070042002000,8
500070033042012,8
500070026013010,8
500070033011002,8
500070034012026,8
500070002003003,8
500070006003000,8
500070040022004,8
500070006003005,8
500070003003000,8
500070041002006,8
500070010002009,8
500070010003016,8
500070031013010,8
500070031015019,8
500070029002004,8
500070023041011,8
500070040023014,8
500070026012003,8
500070023011042,7
500070003005007,8
500070033043008,8
500070028004032,8
500070003005012,8
500070035021035,8
500070003002001,8
500070021012008,8
500070001001002,8
500070003002005,8
500070034011042,8
500070003002016,8
500070034023008,8
500070028001005,8
500070033012011,8
500070029002032,8
500070042003000,8
500070042002006,8
500070027014004,8
500070029001024,8
500070028002004,8
500070024002003,8
500070031011019,8
500070031013004,8
500070025011011,8
500070027021016,8
500070025012001,8
500070027022007,8
500070029002011,8
500079800001006,8
500070025011026,8
500070034012011,8
500070027012011,8
500070029005011,8
500070003001007,8
500070027011030,8
500070027011027,8
500070034021000,8
500070025011023,8
500070025021000,7
500070040024005,8
500070031021029,8
500070009002000,8
500070025022007,8
500070026014009,8
500070039001019,8
500070006001006,8
500070039001007,8
500070008001014,8
500070011001019,8
500070039004005,8
500070034021005,8
500070031021022,8
500070033044009,8
500070033044001,8
500070039003001,8
500070027021006,8
500070027022012,8
500070031014001,8
500070031014030,8
500070036001002,8
500070039004000,8
500070001001010,8
500070021011037,8
500099501002051,2
500099501002081,2
500099501001295,2
500099501001161,2
500099501001249,2
500099501001248,2
500099505003004,2
500099501002053,2
500099501002065,2
500099501002066,2
500099505003043,2
500099505002081,2
500099501001211,2
500099505003040,2
500099505001111,2
500099501001250,2
500099505002011,2
500099505001047,2
500099505001110,2
500099505002036,2
500099501001062,2
500099501001083,2
500099501002064,2
500099502001021,2
500099501001142,2
500099501001059,2
500099501002028,2
500099502001032,2
500099501001183,2
500099505003035,2
500099505001027,2
500099501001282,2
500099501001274,2
500099505002090,2
500099505003005,2
500099505001013,2
500099501001230,2
500099505002100,2
500099505002089,2
500099501001171,2
500099501001256,2
500099505001119,2
500099505002101,2
500099505002013,2
500099505003012,2
500099505001031,2
500099505003013,2
500099505003037,2
500099501001049,2
500099505002063,2
500099505003051,2
500099505002018,2
500099501001187,2
500099501001179,2
500099502001100,2
500099501001168,2
500099501001182,2
500099501001104,2
500099501001141,2
500099501001107,2
500099501001193,2
500099501001138,2
500099501001160,2
500099501001192,2
500099501001034,2
500099501001212,2
500099501002074,2
500099501001145,2
500099505002112,2
500099501001119,2
500099501001102,2
500099501001220,2
500099501001217,2
500099501001121,2
500099501001095,2
500099501002056,2
500099501001100,2
500099502001068,2
500099501001127,2
500099501002069,2
500099501001237,2
500099501001135,2
500099501001214,2
500099501001180,2
500099501001185,2
500099501001108,2
500099505001023,2
500099501001051,2
500099502001044,2
500099501002045,2
500099502001078,2
500099501001291,2
500099501002070,2
500099502001015,2
500099502001017,2
500099502001039,2
500099502001037,2
500099501002001,2
500099502001041,2
500099502001036,2
500099502001033,2
500099502001034,2
500099502001053,2
500099502001055,2
500099501001105,2
500099502001056,2
500099502001054,2
500099501001196,2
500099502001070,2
500099502001065,2
500099502001057,2
500099502001022,2
500099502001030,2
500099502001069,2
500099502001059,2
500099502001093,2
500099502001035,2
500099502001072,2
500099502001092,2
500099502001064,2
500099502001063,2
500099502001009,2
500099501001159,2
500099501001162,2
500099501001163,2
500099501001150,2
500099505003017,2
500099502001012,2
500099501002062,2
500099502001043,2
500099502001090,2
500099501001139,2
500099502001067,2
500099505001100,2
500099505001007,2
500099501001027,2
500099505003044,2
500099501001036,2
500099505001123,2
500099501001114,2
500099501001154,2
500099501001048,2
500099501002047,2
500099501001003,2
500099501002013,2
500099501002078,2
500099501001112,2
500099501001115,2
500099501001085,2
500099501001140,2
500099502001011,2
500099501002059,2
500099501001299,2
500099501002067,2
500099501001084,2
500099505001152,2
500099505003042,2
500099505001021,2
500099501001067,2
500099505002000,2
500099501001090,2
500099501001202,2
500099505001150,2
500099501001001,2
500099505001084,2
500099501002072,2
500099505002094,2
500099501001046,2
500099501001297,2
500099501001146,2
500099501002031,2
500099501002033,2
500099501001153,2
500099505003020,2
500099505003016,2
