block_id,assignment
500070022013012,24
500070030002054,47
500070035031096,45
500070035011008,27
500070002003000,37
500070035013002,27
500070023011015,24
500070034023020,34
500070027021040,63
500070021012019,96
500070034021009,34
500070030002013,47
500070035031012,45
500070021012005,96
500070022021005,24
500070035011025,27
500070036002007,15
500070010003017,30
500070010003018,30
500070009001006,69
500070041002010,30
500070009001003,30
500070009001005,69
500070009001004,69
500070009001008,69
500070008001001,69
500070009002001,69
500070008001003,69
500070008001004,69
500070008001005,69
500070041002009,50
500070033012003,58
500070034021003,34
500070021032002,96
500070021011022,103
500070022014000,24
500070010001001,69
500070008001007,69
500070041002007,50
500070009001009,69
500070033012008,58
500070029001094,82
500070021032036,96
500070027021008,82
500070021032032,96
500070021043004,96
500070025011007,65
500070027021013,82
500070022012006,24
500070027013006,63
500070027013000,63
500070027013015,63
500070027013010,63
500070027013014,63
500070031011006,67
500070031011010,67
500070035013012,27
500070031014003,67
500070035031027,45
500070035031026,45
500070030001039,47
500070031014023,67
500070035031038,45
500070028002038,14
500070031014021,67
500070031014012,67
500070034012035,34
500070034022005,34
500070034022002,34
500070003003008,36
500070031013038,67
500070028002009,14
500070027011001,82
500070022022009,24
500070029001082,82
500070029002009,14
500070035021011,78
500070029006020,14
500070029006016,14
500070021043005,96
500070027021019,82
500070035013032,27
500070021043009,96
500070021011009,103
500070035021016,78
500070035031005,45
500070030002053,47
500070029001064,82
500070029005030,45
500070035013000,27
500070027013029,67
500070030001010,47
500070029001009,82
500070022021012,24
500070021042000,96
500070035013019,27
500070028003019,14
500070031013005,67
500070025022003,65
500070034012000,44
500070027013030,63
500070003004006,30
500070040023012,15
500070003005015,30
500070003004002,30
500070003005014,30
500070042002005,30
500070010002000,30
500070010002008,30
500070042001008,30
500070042001004,1
500070041002003,30
500070003004000,30
500070042001007,1
500070041002002,30
500070041002005,50
500070003004004,30
500070003004001,30
500070006003007,1
500070006003008,1
500070006003006,1
500070003004005,30
500070042001001,1
500070042001005,1
500070042001000,1
500070042001006,1
500070006003013,1
500070041001000,50
500070041002000,50
500070006003012,1
500070010002006,30
500070039003004,50
500070010003015,30
500070010002013,30
500070010003001,30
500070010003000,30
500070010001000,69
500070010003019,30
500070008002009,69
500070023031020,74
500070003003002,37
500070027022006,63
500070027012004,63
500070027012010,63
500070027012003,63
500070026013009,72
500070031014016,67
500070022013014,74
500070001003001,37
500070022022012,24
500070027012032,63
500070031012006,67
500070035031101,45
500070035013003,27
500070035013039,27
500070022011000,24
500070031011026,67
500070034011051,44
500070031015011,67
500070031012000,67
500070031011030,67
500070031015007,67
500070030001054,47
500070034023000,34
500070023011039,24
500070023011043,74
500070026012002,72
500070021011018,103
500070029006010,14
500070023011012,103
500070035011036,27
500070031015014,67
500070035012018,27
500070035012031,27
500070033042000,86
500070035021001,78
500070029001047,82
500070030002070,47
500070035021034,78
500070027022018,63
500070021041014,96
500070031015020,67
500070030001070,47
500070027022001,63
500070031013031,67
500070003003006,36
500070034011013,44
500070003003009,36
500070029001078,82
500070021011045,103
500070035031075,45
500070029001077,82
500070030002072,47
500070021011019,103
500070040023008,15
500070029001011,82
500070026021016,72
500070029001093,82
500070035013008,27
500070028003003,14
500070029001075,82
500070023041009,74
500070006002003,65
500070006001007,65
500070029005014,45
500070023011016,24
500070021032015,96
500070029005000,45
500070029002003,14
500070027011007,82
500070027021024,82
500070029002030,14
500070021012000,96
500070029005062,45
500070022012000,24
500070028003015,14
500070028003002,14
500070027011009,82
500070034011025,34
500070028003004,14
500070031021006,67
500070040023009,15
500070021032010,96
500070033012013,58
500070034011006,44
500070031011032,67
500070025021015,65
500070034011054,34
500070022022018,24
500070027021034,63
500070035012029,27
500070023041003,74
500070023033022,36
500070028002045,14
500070023031011,74
500070028003008,14
500070035011037,27
500070029005025,45
500070035011022,27
500070030002071,47
500070006001000,65
500070023041007,74
500070022014030,15
500070003003010,36
500070040023016,15
500070040023006,63
500070022014035,24
500070022014029,24
500070003003003,74
500070029006038,14
500070030002025,47
500070035013035,27
500070035013009,27
500070022014033,24
500070027012038,63
500070035011026,27
500070035021048,78
500070035013022,27
500070002004003,36
500070034011041,34
500070035012035,27
500070034011032,34
500070035023006,78
500070031013027,67
500070030001037,47
500070034023011,34
500070030001046,47
500070034021007,34
500070034021025,34
500070030002044,47
500070030002000,47
500070034023001,44
500070025012004,65
500070033011005,86
500070033012023,58
500070034022001,34
500070033012027,58
500070024002001,65
500070025011018,65
500070002004004,36
500070024002006,65
500070003005005,30
500070025011027,65
500070024002007,65
500070025011013,65
500070003005020,30
500070003005008,30
500070025011010,65
500070003001001,30
500070003005018,30
500070025012000,65
500070025011004,65
500070025011019,65
500070003005009,30
500070025012002,65
500070003005011,30
500070003001008,30
500070025021003,65
500070002005003,37
500070025012005,65
500070025011024,65
500070042001003,30
500070003005010,30
500070025012007,65
500070003005002,30
500070025011020,65
500070025021009,65
500070025011001,65
500070025021012,24
500070025011006,65
500070022012003,24
500070031014031,67
500070027012017,63
500070003005013,30
500070034011034,34
500070022022030,74
500070022021025,24
500070035031087,45
500070027012018,63
500070029001032,82
500070002002000,37
500070022013010,24
500070031012007,67
500070031012002,67
500070031013016,67
500070033012018,58
500070031013011,67
500070031013014,67
500070031013012,67
500070031013015,67
500070023031005,74
500070027013009,63
500070034023016,34
500070031011002,67
500070023031018,74
500070025011017,65
500070034012024,44
500070003003005,36
500070028004021,14
500070035023017,78
500070025021006,65
500070033012020,58
500070028004022,14
500070034023012,34
500070029005007,45
500070029002035,14
500070029005010,45
500070030002003,47
500070033012006,58
500070022022014,24
500070006001005,1
500070033012001,58
500070006001001,1
500070023041005,74
500070030002002,47
500070039001015,50
500070039001010,50
500070035013036,27
500070022021038,24
500070035024014,78
500070023041015,74
500070028002025,14
500070021011043,103
500070023011048,24
500070030002048,47
500070034023013,34
500070034011020,34
500070026022001,72
500070040021013,15
500070033011004,33
500070021041012,96
500070034011016,44
500070035011021,27
500070021012002,96
500070034021017,34
500070039002002,69
500070033012025,58
500070033011026,58
500070040022008,58
500070040021011,15
500070040021008,15
500070025011025,65
500070033011015,58
500070033011017,58
500070024001001,65
500070033011016,58
500070025012006,65
500070029001040,82
500070033011010,58
500070033011027,58
500070003005017,30
500070033011031,58
500070033011013,58
500070033011032,58
500070033011030,58
500070025011009,65
500070033011029,58
500070034023003,44
500070030002082,47
500070025011008,65
500070034011048,34
500070003005016,30
500070035021002,78
500070003001003,30
500070035023000,78
500070033012028,58
500070035012003,27
500070035023002,78
500070039004003,50
500070021012018,96
500070034012020,44
500070002001002,37
500070039004007,50
500070033043012,86
500070033012014,58
500070002004006,36
500070033012017,58
500070006001008,65
500070002003013,36
500070039004002,1
500070002004005,36
500070027022002,63
500079800001005,15
500070040023013,15
500070030001071,47
500070040024002,15
500070033044003,33
500070033044000,33
500070030002017,47
500070021031015,96
500070022014034,24
500070040021031,15
500070040021001,15
500070022012004,65
500070040023018,15
500070041001002,50
500070030001001,47
500070026013005,72
500070006003014,1
500070039001009,50
500070030001003,47
500070009001000,30
500070028004023,14
500070009001012,69
500070034021033,34
500070026023021,63
500070028003021,14
500070040023005,72
500070039001013,50
500070039001003,50
500070033044011,33
500070039003000,1
500070009001011,69
500070025021007,65
500070021041017,96
500070009001010,69
500070022014018,24
500070009002003,69
500070028002044,14
500070029006046,14
500070034012034,34
500070034012033,34
500070039001008,50
500070034012029,44
500070034012014,44
500070040022006,58
500070039001005,50
500070022022022,74
500070034012037,44
500070039001002,50
